Index,Preferred_scientific_name,International_common_name,Plant_pest,Domain,Kingdon,Phylum,Class,Order,Family,Datasheet_URL
11,Angiopteris evecta, king fern, No, Eukaryota, Plantae, Pteridophyta, , , Marattiaceae, https://www.cabi.org/isc/datasheet/22973091
12,Azolla cristata, , No, Eukaryota, Plantae, Pteridophyta, Filicopsida, , Azollaceae, https://www.cabi.org/isc/datasheet/121923
13,Azolla filiculoides, water fern, No, Eukaryota, Plantae, Pteridophyta, Filicopsida, , Azollaceae, https://www.cabi.org/isc/datasheet/8119
14,Blechnum appendiculatum, palm fern, No, Eukaryota, Plantae, Pteridophyta, Pteridopsida, , Blechnaceae, https://www.cabi.org/isc/datasheet/118974
15,Christella dentata, soft fern, No, Eukaryota, Plantae, Pteridophyta, Filicopsida, , Thelypteridaceae, https://www.cabi.org/isc/datasheet/113279
16,Cyathea cooperi, australian tree fern, No, Eukaryota, Plantae, Pteridophyta, Filicopsida, , Cyatheaceae, https://www.cabi.org/isc/datasheet/17261
17,Cyclosorus parasiticus, parasitic maiden fern, Yes, Eukaryota, Plantae, Pteridophyta, Filicopsida, , Thelypteridaceae, https://www.cabi.org/isc/datasheet/120368
18,Cyrtomium falcatum, Japanese holly fern, No, Eukaryota, Plantae, Pteridophyta, Filicopsida, , Dryopteridaceae, https://www.cabi.org/isc/datasheet/17203
19,Deparia petersenii subsp. petersenii, Petersen’s lady fern, No, Eukaryota, Plantae, Pteridophyta, Filicopsida, , Dryopteridaceae, https://www.cabi.org/isc/datasheet/113835
20,Diplazium esculentum, vegetable fern, No, Eukaryota, Plantae, Pteridophyta, Filicopsida, Polypodiales, Athyriaceae, https://www.cabi.org/isc/datasheet/93234022
21,Equisetum arvense, field horsetail, Yes, Eukaryota, Plantae, Pteridophyta, Equisetopsida, , Equisetaceae, https://www.cabi.org/isc/datasheet/21621
22,Lygodium japonicum, Japanese climbing fern, No, Eukaryota, Plantae, Pteridophyta, Filicopsida, , Schizaeaceae, https://www.cabi.org/isc/datasheet/31783
23,Lygodium microphyllum, old world climbing fern, No, Eukaryota, Plantae, Pteridophyta, Filicopsida, , Schizaeaceae, https://www.cabi.org/isc/datasheet/110270
24,Macrothelypteris torresiana, swordfern, No, Eukaryota, Plantae, Pteridophyta, Filicopsida, , Thelypteridaceae, https://www.cabi.org/isc/datasheet/115457
25,Nephrolepis brownii, Asian swordfern, No, Eukaryota, Plantae, Pteridophyta, Filicopsida, , Nephrolepidaceae, https://www.cabi.org/isc/datasheet/115772
26,Pteridium aquilinum, bracken, Yes, Eukaryota, Plantae, Pteridophyta, Pteridopsida, , Dennstaedtiaceae, https://www.cabi.org/isc/datasheet/45596
27,Pteris tripartita, giant brake, No, Eukaryota, Plantae, Pteridophyta, Filicopsida, Polypodiales, Pteridaceae, https://www.cabi.org/isc/datasheet/119836
28,Pteris vittata, Chinese ladder brake fern, No, Eukaryota, Plantae, Pteridophyta, Filicopsida, Polypodiales, Pteridaceae, https://www.cabi.org/isc/datasheet/119837
29,Salvinia auriculata, giant salvinia, Yes, Eukaryota, Plantae, Pteridophyta, Filicopsida, Hydropteridales, Salviniaceae, https://www.cabi.org/isc/datasheet/48444
30,Salvinia minima, , No, Eukaryota, Plantae, Pteridophyta, Filicopsida, Hydropteridales, Salviniaceae, https://www.cabi.org/isc/datasheet/107785
31,Salvinia molesta, kariba weed, Yes, Eukaryota, Plantae, Pteridophyta, Filicopsida, Hydropteridales, Salviniaceae, https://www.cabi.org/isc/datasheet/48447
32,Thelypteris opulenta, jewelled maiden fern, No, Eukaryota, Plantae, Pteridophyta, Filicopsida, , Thelypteridaceae, https://www.cabi.org/isc/datasheet/119452
